name,kor_name,tag1,tag2,attack_range,region,related_champions,release_code,position1,position2,rune,items,tier
xinzhao,신 짜오,Fighter,Assassin,175,Demacia,"xinzhao,alistar,jarvan iv,garen,shyvana",54,jungle,RIP,Conqueror,"Titanic Hydra,Sundered Sky,Sterak's Gage",3
yasuo,야스오,Fighter,Assassin,175,Ionia,"yasuo,yone,taliyah,riven",116,mid,top,Lethal Tempo,"Kraken Slayer,Infinity Edge,Immortal Shieldbow",2
yone,요네,Assassin,Fighter,175,Ionia,"yone,yasuo,lillia",149,top,mid,Lethal Tempo,"Kraken Slayer,Infinity Edge,Immortal Shieldbow",2
yorick,요릭,Fighter,Tank,175,Shadow Isles,"yorick,hecarim,kalista,thresh,karthus,maokai,kindred",77,top,RIP,Conqueror,"Tiamat,Profane Hydra,Spear of Shojin,Serylda's Grudge",5
yuumi,유미,Support,Mage,425,Bandle City,"yuumi,lulu,tristana,teemo",143,support,RIP,Summon Aery,"Moonstone Renewer,Mikael's Blessing,Ardent Censer",4
zac,자크,Tank,Fighter,175,Zaun,"zac,twitch",111,jungle,top,Aftershock,"Sunfire Aegis,Thornmail,Spirit Visage",3
zed,제드,Assassin,RIP,125,Ionia,"zed,shen,akali,kennen,gangplank,jhin,kayn",106,mid,jungle,Electrocute,"Voltaic Cyclosword,Youmuu's Ghostblade,Edge of Night",2
zeri,제리,Marksman,RIP,500,Zaun,"zeri,ekko",157,adc,RIP,Lethal Tempo,"Experimental Hexplate,Runaan's Hurricane,Titanic Hydra",5
ziggs,직스,Mage,RIP,550,Zaun,"ziggs,heimerdinger,rumble,veigar",91,adc,RIP,Arcane Comet,"Tear of the Goddess,Luden's Companion,Seraph's Embrace,Shadowflame",5
zilean,질리언,Support,Mage,550,Runeterra,"zilean,aatrox,jax,vel'koz",18,support,RIP,Summon Aery,"Shurelya's Battlesong,Imperial Mandate,Morellonomicon",3
zoe,조이,Mage,Support,550,Targon,"zoe,aurelion sol,pantheon",138,mid,RIP,Electrocute,"Luden's Companion,Stormsurge,Shadowflame",3
zyra,자이라,Mage,Support,575,Ixtal,"zyra,ivern,nidalee",100,support,RIP,Arcane Comet,"Liandry's Torment,Rylai's Crystal Scepter,Morellonomicon",1
